genres,id_spotify,artist,name,cover_art,isrc,preview_url,download_url
country,00xYIACNJZYetQocjM2398,Johnny Cash,The One On The Right Is On The Left,https://i.scdn.co/image/ab67616d0000b2730ef46bb8b799bbe6b83a1955,USSM10414710,https://cdns-preview-4.dzcdn.net/stream/c-478f3372b2875ccb4370b42f3fe51152-9.mp3,
country,1O2aghW30o3yv8EwyKbQfj,Carrie Underwood,See You Again,https://i.scdn.co/image/ab67616d0000b2739ea5deacdf2b7999500d3f9a,GBCTA1200048,https://p.scdn.co/mp3-preview/3c5c918c422e1dc81fa20cd6aa7f220ca5181735?cid=0f3710c5e6654c7983ad32e438f68f9d,
country,1qL4gcmsfp7nvX5cWT9yN5,Johnny Cash,Streets Of Laredo,https://i.scdn.co/image/ab67616d0000b2739e34d7e90b63e67984f93b30,USDJ20200645,https://cdns-preview-1.dzcdn.net/stream/c-1060728e08889b1e96827ee458189e69-6.mp3,
country,0EQcdVEpbUAg9quSFUfuvQ,Bob Dylan,Drifter's Escape,https://i.scdn.co/image/ab67616d0000b273f2d5da693cf9c711edd3f0a8,USSM19922547,https://cdns-preview-6.dzcdn.net/stream/c-6ad91dc3c18513c1033a15e3cd2f2f07-5.mp3,
country,07Gg9IFlKNJSXlGjIEEKsi,Dixie Chicks,Ready to Run,https://i.scdn.co/image/ab67616d0000b273e8f17aa4b4fe64df26da8213,USSM19806736,https://cdns-preview-5.dzcdn.net/stream/c-5bd8028b19f810b7e9a4c2b24c97ab2f-5.mp3,
"rock,country",0VigOMpF3qrGdWycRXdgne,Cake,Walk On By,https://i.scdn.co/image/ab67616d0000b2738c28d7443694de36c67be905,USCA19886889,https://p.scdn.co/mp3-preview/c549202a9abaaa28bdbac6ac8147994a6f7f8b14?cid=0f3710c5e6654c7983ad32e438f68f9d,
"country,pop,rock",1F3QFycYerpkLTSlwBO03C,Carrie Underwood,Good Girl,https://i.scdn.co/image/ab67616d0000b2737711db14ffed54f0a5948e71,GBCTA1200022,https://cdns-preview-9.dzcdn.net/stream/c-9b3aac8563072cd4afaf53a0386dfe73-5.mp3,
"rock,pop,country",1UsMQ8YAh1KQjBGyqn5h7W,Robbie Williams,Me and My Monkey,https://i.scdn.co/image/ab67616d0000b273d08e60299e05ac0d4b730889,GBFFG0200023,,
country,06gBXmSF9bKBa9ttqdvl9N,Uncle Tupelo,Screen Door,https://i.scdn.co/image/ab67616d0000b273f46317c0125a1db71275b298,USSM10200136,https://p.scdn.co/mp3-preview/8a5741913d1181520bc4eacec3a324819c0e5f9a?cid=0f3710c5e6654c7983ad32e438f68f9d,
"pop,rnb,country",02eDW2E6MgRIXyjQp23ry5,Justin Timberlake,Drink You Away,https://i.scdn.co/image/ab67616d0000b27382a45e108688cb14f5255de7,USRC11301020,https://cdns-preview-f.dzcdn.net/stream/c-fd5a90bbf818ee3f26309c8352ba18d9-5.mp3,
country,3yzPfpJyzLBtQ1x2SvJbhh,Tim McGraw,You Had To Be There,https://i.scdn.co/image/ab67616d0000b2739cfc486a69aeea52142453ee,USCRB0908956,https://p.scdn.co/mp3-preview/1016a2f4380d0a0b40e3194354d60bc48f568987?cid=0f3710c5e6654c7983ad32e438f68f9d,
country,1yOFzv9QNC2xmzZIgObevE,Nickel Creek,Helena,https://i.scdn.co/image/ab67616d0000b2735189752bd67a959b94350b60,USSH50500095,https://p.scdn.co/mp3-preview/7a0fc7763f0313395d3ddcb9f9b2fad1a9cd150b?cid=0f3710c5e6654c7983ad32e438f68f9d,
country,1ePCw5orbYWG46alrl8gke,Terri Clark,Better Things To Do,https://i.scdn.co/image/ab67616d0000b273c889268cb18e9dbb8395a3c5,USPR39505038,https://p.scdn.co/mp3-preview/37836bad2df412bf9ae0b41552ce77e70f36805f?cid=0f3710c5e6654c7983ad32e438f68f9d,
country,0BEc3dpTHEFlzaI8gDNRTK,Hasil Adkins,She Said,https://i.scdn.co/image/ab67616d0000b27352056cce79ea29ffa462adc9,QMDA61395184,https://p.scdn.co/mp3-preview/afb4e7d1ccbb5e9b9bc63929642451fb5bde5480?cid=0f3710c5e6654c7983ad32e438f68f9d,
country,26ZnKnKnvNd7jMHErWLBBh,The Avett Brothers,It Goes On And On,https://i.scdn.co/image/ab67616d0000b273b1b03f37b27fbc5745a1da8d,USSM10903399,https://cdns-preview-3.dzcdn.net/stream/c-3441fe027eff9e4e01dca3d6c99f4854-6.mp3,
country,0SUigymKEdV1QiAFOW24CH,Toby Keith,I Love This Bar,https://i.scdn.co/image/ab67616d0000b273bd7b9487f003e4c7ddc471b4,USDW10300576,https://cdns-preview-7.dzcdn.net/stream/c-744ea7c27921a1a74ef9457e9d94c373-5.mp3,
"rock,country",1BGa0lHvEaJS9yYJP4tTcc,Panic! at the Disco,Folkin' Around,https://i.scdn.co/image/ab67616d0000b27354f13c63a0ad5b5a38dca07f,USAT20801315,https://cdns-preview-6.dzcdn.net/stream/c-6e992783bc3059b3e0ba2c88044cecf8-8.mp3,
country,00AoHyQsi0KsoDobEkJQ39,Johnny Horton,The Battle of New Orleans,https://i.scdn.co/image/ab67616d0000b273fc43fe63b9a3d194bd95d3f8,QMDA61438228,,
"pop,country",15f2XHwAnrzgMvGVzGmiGW,Shania Twain,Don't Be Stupid (You Know I Love You),https://i.scdn.co/image/ab67616d0000b27356bc71f77895fe385e40d9b7,USMR19887510,https://cdns-preview-f.dzcdn.net/stream/c-f1ae44bbb8de5596d6ca02d0d99f59ec-4.mp3,
"rock,pop,country",1Bglqssu8LjhY9NtAKFVTH,Jordan O'Jordan,By Balloon or Sinking Ship,https://i.scdn.co/image/ab67616d0000b27328f2d608d635a01d870d2e56,USHZ70701510,https://p.scdn.co/mp3-preview/22c6e161a2d10ff59af8aa6f06917f5d1c8e68cc?cid=0f3710c5e6654c7983ad32e438f68f9d,
country,06bvC3xmNetAZPhGL5hd6E,Sheb Wooley,The Purple People Eater,https://i.scdn.co/image/ab67616d0000b273dee46740df700d7929de6da0,QM6P41442628,,
"pop,country",0dqLRzVBzoeklYNCW1GEEG,Lily Allen,Not Fair,https://i.scdn.co/image/ab67616d0000b273dc947b99de561bb35a457947,GBAYE0900544,,
"rock,country",0YRv8GX3ekiz2XkbnZTSrU,Wilco,Hummingbird,https://i.scdn.co/image/ab67616d0000b273fa05f11cac273580ee84a2c4,USNO10480905,https://p.scdn.co/mp3-preview/de97c72c3d56c8670b205758a683d76e70ac0994?cid=0f3710c5e6654c7983ad32e438f68f9d,
country,0LviM04IykLs7JEkrZV9Xm,Carrie Underwood,Lessons Learned,https://i.scdn.co/image/ab67616d0000b273724bd326692d222c5906b0b0,GBCTA0500205,https://p.scdn.co/mp3-preview/193c87a118601a14a79c4902d046aac018d1a947?cid=0f3710c5e6654c7983ad32e438f68f9d,
"rock,country,pop",2PRFw0OVvZhBNnU3ZLq1Pp,The Thrills,Faded Beauty Queens,https://i.scdn.co/image/ab67616d0000b27373fec38de03213bd0b0262dd,GBAAA0400285,https://p.scdn.co/mp3-preview/63b7c307c608919ccb00a9d40b469df5ae637535?cid=0f3710c5e6654c7983ad32e438f68f9d,
country,0pPgPXUFZNpLPIcebStqqH,Ryan Adams,Let It Ride,https://i.scdn.co/image/ab67616d0000b2736a04f859a9b2bb7da9f361a4,USMR10500095,https://cdns-preview-f.dzcdn.net/stream/c-f393d30474053a0290c75a3516c0307e-3.mp3,
country,0hm2RZycmSQ0zjiLWZQNpv,The Byrds,You're Still on My Mind,https://i.scdn.co/image/ab67616d0000b27328f206c2afd82f927307111d,USSM16800131,https://cdns-preview-a.dzcdn.net/stream/c-a9d69dae651dcf64af484bc264d055fe-5.mp3,
country,3gfwE5rzhla3IErq5nNuhv,Gillian Welch,Wrecking Ball,https://i.scdn.co/image/ab67616d0000b273b8cc62c1346a35aef84a6c95,US2AR0130510,https://cdns-preview-1.dzcdn.net/stream/c-16da5efd5cd00572b38aea428aff41d9-4.mp3,
country,01arRUV75UrxWOaG85qLTD,Anne Murray,You Needed Me,https://i.scdn.co/image/ab67616d0000b273431545a19cea56bafe915ef8,CAE157800006,https://p.scdn.co/mp3-preview/c01045e2075ac210fb00c1c5523457f42960b540?cid=0f3710c5e6654c7983ad32e438f68f9d,
country,0C7CGkfImGiZU1eJBnuVg5,Dixie Chicks,Without You,https://i.scdn.co/image/ab67616d0000b273d403e148ed3a8de7acf2cfab,USSM19901543,https://cdns-preview-5.dzcdn.net/stream/c-5aaeb072c8575f7e8cc54f5310218801-4.mp3,
country,4P8oUspB0UOp8apitWKqG6,Billy Bragg & Wilco,Walt Whitman's Niece,https://i.scdn.co/image/ab67616d0000b273172efc492cb5324ae54c8129,USEE19800058,https://cdns-preview-4.dzcdn.net/stream/c-46f5876af85bbc5820c6e09d6c216423-7.mp3,
country,0qiX92jEjyfj7WO7u9rfEG,Brad Paisley,Then,https://i.scdn.co/image/ab67616d0000b273ad153fd6dbd41c992142ff37,USAN20900013,https://cdns-preview-a.dzcdn.net/stream/c-aa51d42b609c6af33f443d7d4ac58403-3.mp3,
"rock,country",00d8M3nikNfPje79i63GFh,Elvis Presley,That's All Right,https://i.scdn.co/image/ab67616d0000b27343139b76370f37f49ff2ab58,QMDA61314322,,
"rock,country",1fnY36MSx6yUvC5RVD7ncC,Wilco,Monday,https://i.scdn.co/image/ab67616d0000b2730f1e69b2dd97e72671c99cdd,USNO11400326,https://p.scdn.co/mp3-preview/e3108af675a5fa2da97ec5e597436db39e7dc703?cid=0f3710c5e6654c7983ad32e438f68f9d,
country,0zwJ4cmdVxk0IhZUyK2smf,Johnny Cash,The Night Hank Williams Came To Town,https://i.scdn.co/image/ab67616d0000b273e05c4b082fed83661c1e53a6,USPR39401969,https://cdns-preview-3.dzcdn.net/stream/c-3e1e72931ccd11551b646d3c18f3f01f-4.mp3,
country,34scQ8Uc73km87qpp6j9Pi,Lady Antebellum,Long Gone,https://i.scdn.co/image/ab67616d0000b273ef3e146c0cb93564a7c8dc01,USCN10701150,https://p.scdn.co/mp3-preview/dadcbb4aca967d9d0f144941e80c1f5bd843789b?cid=0f3710c5e6654c7983ad32e438f68f9d,
country,00piJwPqDMGhprEbK3uT1Q,Conway Twitty,It's Only Make Believe,https://i.scdn.co/image/ab67616d0000b273fd837e86b57a04fc84c7821d,GBQRF1008623,https://cdns-preview-1.dzcdn.net/stream/c-1d901a45ca2d8ecf72d861283afb125f-12.mp3,
country,1oNEaNcSFhLwcsPFzp98Nx,Johnny Cash,Girl From The North Country,https://i.scdn.co/image/ab67616d0000b273f35e86dbe71fe60bf17f9418,USSM16301099,https://cdns-preview-2.dzcdn.net/stream/c-29ad5761b2aa07804bd032454b986efd-3.mp3,
"pop,country",0GGJ9mrqqfY59NEdo4PjJN,Taylor Swift,You Belong with Me,https://i.scdn.co/image/ab67616d0000b273a95f109272255dffd588e024,USCJY0803328,https://cdns-preview-9.dzcdn.net/stream/c-9ba8f0244e4caf8f449c0dd002bb9651-7.mp3,
