name,artist,genres,id_spotify,cover_art,isrc,preview_url,download_url
Ta Hala Ashegh Shodi,Benyamin,"pop,persian,rap",,https://apin1mservice.com/image-application/benyamin-ta-hala-ashegh-shodi-mp3.jpg,,,http://music.n1mstaticfile.com/artists/Benyamin/Benyamin - Ta Hala Ashegh Shodi [128].mp3
Be Sooye To,Ali Zand Vakili,"traditional,persian",0rUvokRnFhwVf8leQmohUi,https://apin1mservice.com/image-application/ali-zand-vakili-be-sooye-to-mp3.jpg,QZFZ42053440,https://p.scdn.co/mp3-preview/035a60645d1d1db08d3dffa9bdc9323967d28de4?cid=0f3710c5e6654c7983ad32e438f68f9d,http://music.n1mstaticfile.com/1394/04/18/Ali Zand Vakili - Be Sooye To [128].mp3
Parandeh,Atour,"persian,rap",,,,,
Why Is He not,Minoo Javan,"traditional,persian",3611200xwQ60zlHkPVMlNo,,uscgj0503629,https://p.scdn.co/mp3-preview/4098fce2614ec32b5e7b7f933103439e3bb2a102?cid=0f3710c5e6654c7983ad32e438f68f9d,
Varan,Mamak Khadem,"traditional,persian",,,,,
Zange Shotor,Hossein Alizadeh,"persian,traditional,classical",5gOEsleULM4sMsUBdqkeWt,,USAFL9310023,https://p.scdn.co/mp3-preview/7ac39e42da6d0a1392af39fab5d624f7807a9621?cid=0f3710c5e6654c7983ad32e438f68f9d,
Hafteh Eshgh,Benyamin,"pop,persian,rap",,https://apin1mservice.com/image-application/benyamin-hafteh-eshgh-mp3.jpg,,,http://music.n1mstaticfile.com/artists/Benyamin/Benyamin - Hafteh Eshgh [128].mp3
Chelle Neshin,Googoosh,"pop,instrumental,traditional,persian",,,,,
"Desert Storm (Featuring Mamak Khadem - Vocals, Pejman Hadadi - Nagada)",Axiom Of Choice,"classical,traditional,persian",,,,,
Miraghsam [BaRitm.Com],Makan Ashgvari,"rock,persian",,https://assets.rjassets.com/static/mp3/makan-ashgvari-miraghsam/a42fe622685e7dd.jpg,,,https://host2.media-rj.com/media/mp3/mp3-256/81021-3157efaac8b2048.mp3
Matarsak/Scarecrow,Fared Shafinury,"instrumental,traditional,persian",7xnDc6wpxKnyh3DxTeJrGh,,,https://p.scdn.co/mp3-preview/433e34c3ecc5ee7adb7de177257cb74f94f68f38?cid=0f3710c5e6654c7983ad32e438f68f9d,
Mano in,Hossein Tohi,"rap,persian",,,,,
Namomken,Kian Pourtorab,"rock,persian",6YQUqEvoUAwmiFOHs8bPQ0,https://assets.rjassets.com/static/mp3/kian-pourtorab-namomken/093d178f97dd465.jpg,usdy41841243,https://p.scdn.co/mp3-preview/26197ec962c4e19b981135ef7a59325b035f0652?cid=0f3710c5e6654c7983ad32e438f68f9d,https://host2.media-rj.com/media/mp3/mp3-256/74227-26c40395a5b2e1b.mp3
Baba To Digeh Ki Hasti,Mehrshad,"pop,persian",,https://assets.rjassets.com/static/mp3/mehrshad-baba-to-digeh-ki-hasti/2a220fc7.jpg,,,https://host1.media-rj.com/media/mp3/mp3-256/8517-a8d47e6289d852f.mp3
Saket,Nima Masiha,"pop,classical,persian",4GERnyKbbmAzH4NewQ7nAy,,IRIRA1200386,https://p.scdn.co/mp3-preview/24d169f31620cfaa67436d6a555a7b1b198c18c7?cid=0f3710c5e6654c7983ad32e438f68f9d,
Khodahafez,Mazyar Fallahi,"pop,persian",0XDMHLu3HH1fjE9PNHKioV,https://assets.rjassets.com/static/mp3/mazyar-fallahi-khodahafez/6085337e.jpg,FRX201744743,https://p.scdn.co/mp3-preview/dea09cc1a4cf6d4114977b6d9e3e45926bfd737b?cid=0f3710c5e6654c7983ad32e438f68f9d,https://host1.media-rj.com/media/mp3/mp3-256/2128-1cbfaa17889f3bc.mp3
Taabe Gisoo,Mazyar Fallahi,"pop,persian",0vw7IVxAp8JUH6aGW4Pkch,https://apin1mservice.com/image-application/mazyar-fallahi-taabe-gisoo-mp3.jpg,FRX201748808,https://p.scdn.co/mp3-preview/884c0067ef5ea1bd714058f98bb6e3783af5d400?cid=0f3710c5e6654c7983ad32e438f68f9d,http://music.n1mstaticfile.com/artists/Mazyar Fallahi/Mp3/Mazyar Fallahi - Taabe Gisoo [128].mp3
Baavar,Siamak Abbasi,"pop,persian",7vwJerTJTUMBPVVMSEesUf,https://assets.rjassets.com/static/mp3/siamak-abbasi-baavar/f546db54bb03a8a.jpg,FRX281711730,https://p.scdn.co/mp3-preview/c9bd823725c77eda7a24268e0b38dd79363db114?cid=0f3710c5e6654c7983ad32e438f68f9d,https://host1.media-rj.com/media/mp3/mp3-256/37916-b464659e272eab6.mp3
Santa Maria Amar (Maryam-e Moghaddas),Nour Ensemble,"traditional,persian",,,,,
Gol agha,Morteza,"pop,persian",,,,,
09 Fantasie on Armenian Theme,Javād Ma'roufi,"classical,persian",,,,,
Mehrebaniyat Ghasanghih,Homeyra,"pop,persian",0q1VrQIgRhYe2pxszwQOgk,,,https://p.scdn.co/mp3-preview/06d032c8953124f8675994d5469956141d0dd1ff?cid=0f3710c5e6654c7983ad32e438f68f9d,
Emshab (Persian)-,Hamid Talebzadeh,"pop,persian",,,,,
Journey To Eternity(shabzendeha.blogfa.com),Shahram Nazeri & Hafez Nazeri,"traditional,persian",,,,,
Ghabe Akse Khali,Sirvan Khosravi,"pop,persian",1koJb6WebShjpVPtx7XoqN,https://apin1mservice.com/image-application/sirvankhosravi-ghabe-akse-khali-mp3.jpg,AUCOY1900108,https://p.scdn.co/mp3-preview/b6b579072defc9484af51788d0e09598d8af453c?cid=0f3710c5e6654c7983ad32e438f68f9d,http://music.n1mstaticfile.com/1395/06/23/Sirvan Khosravi - Ghabe Akse Khali [128].mp3
Divoone Sho,TM Bax,"pop,rap,persian",,https://assets.rjassets.com/static/mp3/tm-bax-divoone-sho/8f51e5e34406327.jpg,,,https://host1.media-rj.com/media/mp3/mp3-256/26943-2abd8d59522350b.mp3
Aadamak,Fereidoon Foroughi,"pop,rock,persian",38M978AK4SzEttXXtZaotw,,USPUP0812931,https://p.scdn.co/mp3-preview/3535a6a0d4258c0436a28a5e7bee8beb03f5f134?cid=0f3710c5e6654c7983ad32e438f68f9d,
